symbol,daily_ticker,asset_class,group,lumibot_type,long_only,cost_bps,role,active
AAPL,AAPL,EQUITY,equity_single,stock,0,4,core,1
AMAT,AMAT,EQUITY,equity_single,stock,0,4,core,1
AMD,AMD,EQUITY,equity_single,stock,0,4,core,1
AMZN,AMZN,EQUITY,equity_single,stock,0,4,core,1
APP,APP,EQUITY,equity_single,stock,0,4,core,1
ARKK,ARKK,EQUITY,thematic,stock,0,4,core,1
AVGO,AVGO,EQUITY,equity_single,stock,0,4,core,1
BRK-B,BRK-B,EQUITY,equity_single,stock,0,4,core,1
CAT,CAT,EQUITY,equity_single,stock,0,4,core,1
CRM,CRM,EQUITY,equity_single,stock,0,4,core,1
CSCO,CSCO,EQUITY,equity_single,stock,0,4,core,1
DBC,DBC,ENERGY,energy,stock,1,4,core,1
DELL,DELL,EQUITY,equity_single,stock,0,4,core,1
DIA,DIA,EQUITY,broad,stock,0,4,core,1
DPST,DPST,LEVERAGED,leveraged,stock,1,5,core,1
EEM,EEM,EQUITY,intl,stock,0,4,core,1
EFA,EFA,EQUITY,intl,stock,0,4,core,1
EWJ,EWJ,EQUITY,intl,stock,0,4,core,1
EWZ,EWZ,EQUITY,intl,stock,0,4,core,1
FAS,FAS,LEVERAGED,leveraged,stock,1,5,core,1
FNGU,FNGU,LEVERAGED,leveraged,stock,1,5,core,1
FXI,FXI,EQUITY,intl,stock,0,4,core,1
GDX,GDX,METAL,metal,stock,1,3,core,1
GEV,GEV,EQUITY,equity_single,stock,0,4,core,1
GLD,GLD,METAL,metal,stock,1,3,core,1
GLW,GLW,EQUITY,equity_single,stock,0,4,core,1
GOOG,GOOG,EQUITY,equity_single,stock,0,4,core,1
GOOGL,GOOGL,EQUITY,equity_single,stock,0,4,core,1
HOOD,HOOD,EQUITY,equity_single,stock,0,4,core,1
IBB,IBB,EQUITY,thematic,stock,0,4,core,1
INDA,INDA,EQUITY,intl,stock,0,4,core,1
INTC,INTC,EQUITY,equity_single,stock,0,4,core,1
ITB,ITB,EQUITY,thematic,stock,0,4,core,1
IWF,IWF,EQUITY,style,stock,0,4,core,1
IWM,IWM,EQUITY,broad,stock,0,4,core,1
IYR,IYR,EQUITY,reit,stock,0,4,core,1
JETS,JETS,EQUITY,thematic,stock,0,4,core,1
JPM,JPM,EQUITY,equity_single,stock,0,4,core,1
KRE,KRE,EQUITY,thematic,stock,0,4,core,1
KWEB,KWEB,EQUITY,thematic,stock,0,4,core,1
LABU,LABU,LEVERAGED,leveraged,stock,1,5,core,1
LITE,LITE,EQUITY,equity_single,stock,0,4,core,1
LLY,LLY,EQUITY,equity_single,stock,0,4,core,1
LRCX,LRCX,EQUITY,equity_single,stock,0,4,core,1
META,META,EQUITY,equity_single,stock,0,4,core,1
MRVL,MRVL,EQUITY,equity_single,stock,0,4,core,1
MSFT,MSFT,EQUITY,equity_single,stock,0,4,core,1
MTUM,MTUM,EQUITY,factor,stock,0,4,core,1
MU,MU,EQUITY,equity_single,stock,0,4,core,1
NAIL,NAIL,LEVERAGED,leveraged,stock,1,5,core,1
NFLX,NFLX,EQUITY,equity_single,stock,0,4,core,1
NOW,NOW,EQUITY,equity_single,stock,0,4,core,1
NVDA,NVDA,EQUITY,equity_single,stock,0,4,core,1
ORCL,ORCL,EQUITY,equity_single,stock,0,4,core,1
PLTR,PLTR,EQUITY,equity_single,stock,0,4,core,1
QCOM,QCOM,EQUITY,equity_single,stock,0,4,core,1
QLD,QLD,LEVERAGED,leveraged,stock,1,5,core,1
QQQ,QQQ,EQUITY,broad,stock,0,4,core,1
QUAL,QUAL,EQUITY,factor,stock,0,4,core,1
SLV,SLV,METAL,metal,stock,1,3,core,1
SMH,SMH,EQUITY,thematic,stock,0,4,core,1
SNDK,SNDK,EQUITY,equity_single,stock,0,4,core,1
SOXL,SOXL,LEVERAGED,leveraged,stock,1,5,core,1
SOXX,SOXX,EQUITY,thematic,stock,0,4,core,1
SPXL,SPXL,LEVERAGED,leveraged,stock,1,5,core,1
SPY,SPY,EQUITY,broad,stock,0,4,core,1
SSO,SSO,LEVERAGED,leveraged,stock,1,5,core,1
STX,STX,EQUITY,equity_single,stock,0,4,core,1
TAN,TAN,EQUITY,thematic,stock,0,4,core,1
TECL,TECL,LEVERAGED,leveraged,stock,1,5,core,1
TNA,TNA,LEVERAGED,leveraged,stock,1,5,core,1
TQQQ,TQQQ,LEVERAGED,leveraged,stock,1,5,core,1
TSLA,TSLA,EQUITY,equity_single,stock,0,4,core,1
TXN,TXN,EQUITY,equity_single,stock,0,4,core,1
UDOW,UDOW,LEVERAGED,leveraged,stock,1,5,core,1
UNG,UNG,ENERGY,energy,stock,1,4,core,1
UNH,UNH,EQUITY,equity_single,stock,0,4,core,1
UPRO,UPRO,LEVERAGED,leveraged,stock,1,5,core,1
USO,USO,ENERGY,energy,stock,1,4,core,1
V,V,EQUITY,equity_single,stock,0,4,core,1
VLUE,VLUE,EQUITY,factor,stock,0,4,core,1
VNQ,VNQ,EQUITY,reit,stock,0,4,core,1
VOO,VOO,EQUITY,broad,stock,0,4,core,1
VTI,VTI,EQUITY,broad,stock,0,4,core,1
VWO,VWO,EQUITY,intl,stock,0,4,core,1
WDC,WDC,EQUITY,equity_single,stock,0,4,core,1
WMT,WMT,EQUITY,equity_single,stock,0,4,core,1
XBI,XBI,EQUITY,thematic,stock,0,4,core,1
XLB,XLB,EQUITY,sector,stock,0,4,core,1
XLC,XLC,EQUITY,sector,stock,0,4,core,1
XLE,XLE,EQUITY,sector,stock,0,4,core,1
XLF,XLF,EQUITY,sector,stock,0,4,core,1
XLI,XLI,EQUITY,sector,stock,0,4,core,1
XLK,XLK,EQUITY,sector,stock,0,4,core,1
XLP,XLP,EQUITY,sector,stock,0,4,core,1
XLRE,XLRE,EQUITY,sector,stock,0,4,core,1
XLU,XLU,EQUITY,sector,stock,0,4,core,1
XLV,XLV,EQUITY,sector,stock,0,4,core,1
XLY,XLY,EQUITY,sector,stock,0,4,core,1
XOM,XOM,EQUITY,equity_single,stock,0,4,core,1
BTC,BTC-USD,CRYPTO,crypto,crypto,1,10,core,1
ETH,ETH-USD,CRYPTO,crypto,crypto,1,10,core,1
SOL,SOL-USD,CRYPTO,crypto,crypto,1,12,core,1
BNB,BNB-USD,CRYPTO,crypto,crypto,1,12,core,1
XRP,XRP-USD,CRYPTO,crypto,crypto,1,12,core,1
ADA,ADA-USD,CRYPTO,crypto,crypto,1,15,core,1
AVAX,AVAX-USD,CRYPTO,crypto,crypto,1,15,core,1
LINK,LINK-USD,CRYPTO,crypto,crypto,1,15,core,1
LTC,LTC-USD,CRYPTO,crypto,crypto,1,15,core,1
DOGE,DOGE-USD,CRYPTO,crypto,crypto,1,15,core,1
DOT,DOT-USD,CRYPTO,crypto,crypto,1,15,core,1
UNI,UNI7083-USD,CRYPTO,crypto,crypto,1,15,core,1
AAVE,AAVE-USD,CRYPTO,crypto,crypto,1,15,core,1
ATOM,ATOM-USD,CRYPTO,crypto,crypto,1,15,core,1
NEAR,NEAR-USD,CRYPTO,crypto,crypto,1,15,core,1
XLM,XLM-USD,CRYPTO,crypto,crypto,1,15,core,1
TRX,TRX-USD,CRYPTO,crypto,crypto,1,12,core,1
BCH,BCH-USD,CRYPTO,crypto,crypto,1,12,core,1
SQQQ,SQQQ,INV_LEVERAGED,inverse,stock,1,5,convex,0
SPXS,SPXS,INV_LEVERAGED,inverse,stock,1,5,convex,0
SOXS,SOXS,INV_LEVERAGED,inverse,stock,1,6,convex,0
COIN,COIN,EQUITY,equity_single,stock,1,4,convex,0
MSTR,MSTR,EQUITY,equity_single,stock,1,5,convex,0
VXX,VXX,VOL,volatility,stock,1,6,convex,0
UVXY,UVXY,VOL,volatility,stock,1,7,convex,0
SVXY,SVXY,VOL,volatility,stock,1,7,convex,0
